[(5620, 15093, 2444), (-92, 120, 52)]
[(5620, 15093, 2444), (-92, 120, 52)]
[(5602, 15098, 2422), (-106, 86, 40)]
[(5592, 15087, 2436), (-116, 86, 25)]
[(5592, 15087, 2436), (-116, 86, 25)]
[(5592, 15087, 2436), (-116, 86, 25)]
[(5592, 15087, 2436), (-116, 86, 25)]
[(5591, 15101, 2425), (-122, 75, 28)]
[(5591, 15101, 2425), (-122, 75, 28)]
[(5591, 15101, 2425), (-122, 75, 28)]
[(5591, 15101, 2425), (-122, 75, 28)]
[(5580, 15100, 2400), (-112, 66, 54)]
[(5598, 15100, 2384), (-119, 35, 65)]
[(5598, 15100, 2384), (-119, 35, 65)]
